Name,Age,Gender,Height,Occupation,Hobbies,Pets,Favorite Music Genre,Favorite Band or Artist,Preferred Movie/TV Genre,Physical Activity Frequency,Preferred Physical Activity,Vacation Type,Vacation Activities,Bucket List,Vices,Preferred Partner Gender,Preferred Physical Attributes,Preferred Age Range,Preferred Activity Level,Pet Friendly Importance,Child Friendly Importance,Deal Breakers
Caitlin Adams,19,Prefer not to say,185 - 190 cm,Healthcare,Socializing,"No, but I would love to","Pop, Hip-Hop/Rap, Electronic",Nicole Bennett,"Comedy, Drama, Horror/Thriller",Regularly (2–3 times a week),"Gym/Fitness classes, I don't do any physical activities","Seaside, Adventure travel","Swimming/Water sports, Sightseeing/Cultural tours",Running a marathon,"Smoking, None of the above",Prefer not to say,Athletic build,26–35,Moderately active,1,2,"Poor hygiene, Disrespectful behavior"
Maria Valdez,48,Prefer not to say,190 - 195 cm,Teacher,"Tv shows/Movies, Gaming, Cooking/Baking, Music/Art",Yes – Multiple types,"Electronic, Jazz/Blues",Paula Roberts,Drama,Occasionally (once a week or less),"Yoga/Pilates, Swimming/Water sports","Adventure travel, Seaside","Hiking/Outdoor adventures, Sightseeing/Cultural tours","Skydiving or bungee jumping, Traveling to a new continent",None of the above,Prefer not to say,Tall,36–45,Not very active,3,1,"Poor hygiene, Lack of ambition, Excessive drinking"
Angela Robinson,40,Non-binary,165 - 170 cm,IT Professional,"Cooking/Baking, Socializing, Playing musical instruments, Reading","No, but I would love to","Classical, Manele",Cindy Allen,"Action/Adventure, Comedy",Occasionally (once a week or less),Swimming/Water sports,Seaside,Swimming/Water sports,Starting your own business,"Prefer not to say, Gambling",Male,"Athletic build, Natural look",46+,Not very active,1,4,None of the above
Matthew Johnson,24,Female,150 - 155 cm,Student,"Sports, Gym, Tv shows/Movies, Playing musical instruments, Socializing",Yes – Cat(s),Electronic,Stephen Gonzalez,"Romance, Drama, Horror/Thriller",I’m not very active,Swimming/Water sports,"City breaks, Countryside","Relaxing on the beach, Sightseeing/Cultural tours",Traveling to a new continent,"Regular alcohol consumption, Smoking",Female,"No strong preference, Stylish/Well-groomed",18–25,Moderately active,2,3,"None of the above, Lack of ambition, Excessive drinking"
Helen Robles,35,Male,155 - 160 cm,Business,"Tv shows/Movies, Gym",Yes – Multiple types,"Electronic, Classical",Patrick Williams,Science Fiction/Fantasy,I’m not very active,"Running/Jogging, Yoga/Pilates",City breaks,Sightseeing/Cultural tours,"Learning a new language, Traveling to a new continent","Prefer not to say, Regular alcohol consumption",It doesn't matter,"Athletic build, Tall",46+,Highly active/Sporty,2,2,Lack of ambition
Mark Golden,31,Male,170 - 175 cm,IT Professional,"Music/Art, Sports","No, but I would love to","Electronic, Hip-Hop/Rap, Manele",Tonya Gonzalez MD,Horror/Thriller,Regularly (2–3 times a week),Running/Jogging,"Mountains, Adventure travel","Sightseeing/Cultural tours, Hiking/Outdoor adventures",Skydiving or bungee jumping,Regular alcohol consumption,Prefer not to say,Natural look,36–45,Moderately active,1,1,"Lack of ambition, Disrespectful behavior"
Omar Pierce,28,Female,160 - 165 cm,Business,Music/Art,No,"Hip-Hop/Rap, Rock",Amy Martinez,"Comedy, Action/Adventure, Drama",Regularly (2–3 times a week),I don't do any physical activities,"Adventure travel, Seaside","Sightseeing/Cultural tours, Swimming/Water sports","Learning a new language, Running a marathon, Traveling to a new continent",Gambling,Male,Tall,18–25,No preference,4,4,Disrespectful behavior
Jennifer Baker,46,Prefer not to say,165 - 170 cm,Healthcare,"Music/Art, Tv shows/Movies, Playing musical instruments, Socializing, Gym","No, but I would love to",Classical,Krystal Fields,"Horror/Thriller, Romance",Occasionally (once a week or less),Swimming/Water sports,"Mountains, City breaks",Swimming/Water sports,"Traveling to a new continent, Running a marathon",Regular alcohol consumption,It doesn't matter,"Athletic build, No strong preference",26–35,Highly active/Sporty,1,3,"Disrespectful behavior, Smoking, None of the above"
Kevin Lee,43,Male,195 - 200 cm,Teacher,Hiking,Yes – Cat(s),"Rock, Jazz/Blues, Manele",Brian Horton,"Action/Adventure, Romance, Comedy",Frequently (more than 3 times a week),Yoga/Pilates,"No strong preference, Countryside",Swimming/Water sports,"Running a marathon, Starting your own business, Learning a new language","Smoking, Prefer not to say",Male,"Athletic build, No strong preference",46+,No preference,4,5,Disrespectful behavior
Kelly Joseph,30,Male,185 - 190 cm,Healthcare,"Cooking/Baking, Hiking, Music/Art, Sports, Reading",No,"Hip-Hop/Rap, Rock, Manele",Sandy Harris,Comedy,Occasionally (once a week or less),"Yoga/Pilates, Team sports","Countryside, Mountains","Swimming/Water sports, Relaxing on the beach",Traveling to a new continent,"Regular alcohol consumption, Smoking",Female,Athletic build,36–45,Not very active,4,4,Excessive drinking
William Holland,49,Non-binary,195 - 200 cm,Business,Playing musical instruments,Yes – Dog(s),"Classical, Electronic, Rock",Michelle Osborne MD,"Horror/Thriller, Drama",Regularly (2–3 times a week),"Running/Jogging, Gym/Fitness classes",City breaks,"Relaxing on the beach, Sightseeing/Cultural tours",Learning a new language,Regular alcohol consumption,Prefer not to say,Athletic build,36–45,Highly active/Sporty,1,4,Poor hygiene
Crystal Rivera,41,Prefer not to say,165 - 170 cm,IT Professional,"Hiking, Gaming",Yes – Dog(s),"Pop, Manele, Hip-Hop/Rap",Daniel Garcia,"Romance, Horror/Thriller",I’m not very active,Gym/Fitness classes,Adventure travel,Sightseeing/Cultural tours,Traveling to a new continent,"Prefer not to say, None of the above",Prefer not to say,"Athletic build, Stylish/Well-groomed",26–35,No preference,5,3,"None of the above, Poor hygiene"
Dr. Karen Garcia,24,Non-binary,190 - 195 cm,Student,"Reading, Cooking/Baking, Cars/Motorbikes, Gaming",No,"Pop, Hip-Hop/Rap, Jazz/Blues",Angela Snyder,"Horror/Thriller, Science Fiction/Fantasy, Action/Adventure",I’m not very active,Running/Jogging,"Mountains, Adventure travel","Hiking/Outdoor adventures, Sightseeing/Cultural tours","Running a marathon, Starting your own business, Skydiving or bungee jumping",None of the above,Prefer not to say,"Stylish/Well-groomed, Natural look",18–25,Moderately active,2,4,None of the above
Chris Hernandez,46,Prefer not to say,150 - 155 cm,Student,"Traveling, Cars/Motorbikes",Yes – Dog(s),Rock,Catherine Holmes,Drama,Frequently (more than 3 times a week),"Running/Jogging, Team sports",Adventure travel,"Hiking/Outdoor adventures, Swimming/Water sports",Starting your own business,"Regular alcohol consumption, Prefer not to say",Female,Stylish/Well-groomed,No preference,Highly active/Sporty,1,1,"Smoking, Excessive drinking"
Henry Holt,24,Prefer not to say,200+ cm,Healthcare,"Sports, Hiking",Yes – Multiple types,Rock,Denise Caldwell,"Romance, Comedy",Occasionally (once a week or less),"I don't do any physical activities, Yoga/Pilates","Seaside, Adventure travel","Sightseeing/Cultural tours, Hiking/Outdoor adventures","Learning a new language, Traveling to a new continent, Skydiving or bungee jumping","Gambling, Prefer not to say",Male,Stylish/Well-groomed,36–45,Highly active/Sporty,5,2,Poor hygiene
Beth Thomas,44,Male,155 - 160 cm,Engineer,"Cars/Motorbikes, Traveling, Socializing, Cooking/Baking, Sports",No,"Manele, Rock",Travis Nash DDS,Comedy,Occasionally (once a week or less),"Yoga/Pilates, Team sports","Mountains, Countryside",Relaxing on the beach,"Skydiving or bungee jumping, Running a marathon, Learning a new language","Smoking, Gambling",Male,Natural look,36–45,No preference,1,1,Smoking
Carlos Cohen,47,Non-binary,200+ cm,Other,"Sports, Tv shows/Movies, Socializing, Gym",Yes – Dog(s),"Classical, Hip-Hop/Rap, Pop",Lori Fritz,Drama,Occasionally (once a week or less),Running/Jogging,"Adventure travel, City breaks",Sightseeing/Cultural tours,"Starting your own business, Traveling to a new continent, Running a marathon","Regular alcohol consumption, Smoking",It doesn't matter,Stylish/Well-groomed,46+,Not very active,5,5,"Poor hygiene, Disrespectful behavior"
Caroline Hunter,28,Female,160 - 165 cm,IT Professional,Sports,Yes – Cat(s),Jazz/Blues,Matthew Wilson,"Romance, Comedy, Science Fiction/Fantasy",Occasionally (once a week or less),Team sports,"Seaside, No strong preference","Swimming/Water sports, Sightseeing/Cultural tours","Skydiving or bungee jumping, Learning a new language","Gambling, Prefer not to say",Prefer not to say,Tall,No preference,Highly active/Sporty,5,2,Lack of ambition
Jason Jennings,22,Female,195 - 200 cm,IT Professional,"Tv shows/Movies, Hiking, Gaming, Socializing, Gym",Yes – Other pet(s),"Rock, Pop",Jasmine Johnson,Drama,Regularly (2–3 times a week),I don't do any physical activities,No strong preference,"Sightseeing/Cultural tours, Relaxing on the beach","Learning a new language, Traveling to a new continent","None of the above, Smoking",Prefer not to say,Natural look,18–25,Moderately active,4,3,"Excessive drinking, Disrespectful behavior, Lack of ambition"
Stephanie Dennis,29,Female,195 - 200 cm,Student,"Sports, Playing musical instruments, Cooking/Baking",Yes – Cat(s),"Hip-Hop/Rap, Rock",Lori Carter,Science Fiction/Fantasy,Occasionally (once a week or less),Gym/Fitness classes,No strong preference,Swimming/Water sports,Starting your own business,Prefer not to say,Male,"Natural look, No strong preference",36–45,No preference,4,3,Poor hygiene
David Hanna,25,Non-binary,150 - 155 cm,Healthcare,"Gaming, Cars/Motorbikes, Sports, Cooking/Baking, Music/Art","No, but I would love to","Jazz/Blues, Hip-Hop/Rap",Paul Gallegos,"Drama, Science Fiction/Fantasy, Romance",I’m not very active,"Running/Jogging, I don't do any physical activities",No strong preference,"Sightseeing/Cultural tours, Hiking/Outdoor adventures",Learning a new language,"Regular alcohol consumption, None of the above",It doesn't matter,No strong preference,36–45,Highly active/Sporty,1,4,"Disrespectful behavior, Smoking"
Brenda Miller,38,Prefer not to say,185 - 190 cm,Other,"Music/Art, Cars/Motorbikes, Reading, Gym, Playing musical instruments",Yes – Multiple types,"Jazz/Blues, Rock",Logan Lopez,Romance,Regularly (2–3 times a week),"Swimming/Water sports, Yoga/Pilates",Mountains,Hiking/Outdoor adventures,Learning a new language,Smoking,Male,"Stylish/Well-groomed, Tall",46+,No preference,4,5,"Disrespectful behavior, Smoking"
Lisa Perry,19,Female,170 - 175 cm,IT Professional,"Traveling, Reading, Tv shows/Movies, Gaming",Yes – Cat(s),Classical,Jennifer Jones,Science Fiction/Fantasy,Occasionally (once a week or less),Team sports,"Adventure travel, Countryside","Relaxing on the beach, Sightseeing/Cultural tours",Traveling to a new continent,"None of the above, Gambling",It doesn't matter,"Tall, Stylish/Well-groomed",18–25,Highly active/Sporty,4,5,Poor hygiene
Eric Carroll,32,Female,175 - 180 cm,Teacher,Traveling,Yes – Dog(s),"Rock, Electronic, Pop",Pamela Holt,"Comedy, Action/Adventure, Horror/Thriller",Frequently (more than 3 times a week),"Team sports, Swimming/Water sports",Seaside,"Relaxing on the beach, Sightseeing/Cultural tours","Skydiving or bungee jumping, Traveling to a new continent, Running a marathon",Gambling,Male,Natural look,36–45,Not very active,5,1,"Disrespectful behavior, Excessive drinking"
Louis Perez,27,Male,150 - 155 cm,Healthcare,"Gaming, Sports, Hiking, Traveling, Tv shows/Movies",Yes – Dog(s),"Rock, Jazz/Blues",Shane Martinez,"Science Fiction/Fantasy, Drama",Occasionally (once a week or less),Team sports,City breaks,"Swimming/Water sports, Sightseeing/Cultural tours","Skydiving or bungee jumping, Running a marathon, Starting your own business",Gambling,It doesn't matter,"Natural look, Stylish/Well-groomed",18–25,Not very active,4,5,"Lack of ambition, Disrespectful behavior"
Adam Rhodes,28,Non-binary,200+ cm,Healthcare,Music/Art,Yes – Cat(s),"Manele, Pop, Hip-Hop/Rap",Corey Gomez,Action/Adventure,Frequently (more than 3 times a week),Gym/Fitness classes,"Mountains, No strong preference",Hiking/Outdoor adventures,Running a marathon,"Prefer not to say, Regular alcohol consumption",It doesn't matter,"Athletic build, No strong preference",46+,Moderately active,1,3,Excessive drinking
David Brown,24,Non-binary,180 - 185 cm,Other,"Playing musical instruments, Gym, Sports",Yes – Cat(s),Hip-Hop/Rap,Gregory Roman,Science Fiction/Fantasy,I’m not very active,I don't do any physical activities,Countryside,Hiking/Outdoor adventures,Learning a new language,Smoking,Female,"Athletic build, Stylish/Well-groomed",36–45,Highly active/Sporty,3,4,"None of the above, Excessive drinking"
Jamie Perkins,45,Female,155 - 160 cm,Engineer,"Gym, Cars/Motorbikes",Yes – Multiple types,Pop,Dana Franklin,"Science Fiction/Fantasy, Drama",Occasionally (once a week or less),Running/Jogging,"Seaside, Mountains","Swimming/Water sports, Hiking/Outdoor adventures","Traveling to a new continent, Running a marathon, Starting your own business","Smoking, None of the above",Female,"No strong preference, Tall",26–35,No preference,1,4,Excessive drinking
Carla White,45,Male,165 - 170 cm,Student,"Cars/Motorbikes, Reading, Playing musical instruments",Yes – Dog(s),"Manele, Rock, Electronic",David Fuentes,"Drama, Comedy, Horror/Thriller",Occasionally (once a week or less),Yoga/Pilates,"Adventure travel, No strong preference","Hiking/Outdoor adventures, Relaxing on the beach","Running a marathon, Starting your own business, Skydiving or bungee jumping","None of the above, Prefer not to say",Female,Natural look,36–45,Highly active/Sporty,2,3,None of the above
Robert Johnson,27,Non-binary,180 - 185 cm,Engineer,"Socializing, Gaming, Hiking",Yes – Cat(s),"Hip-Hop/Rap, Rock, Electronic",Danny Marquez,Drama,Frequently (more than 3 times a week),Team sports,"Seaside, Mountains","Sightseeing/Cultural tours, Hiking/Outdoor adventures","Learning a new language, Skydiving or bungee jumping","Prefer not to say, None of the above",Prefer not to say,No strong preference,18–25,Moderately active,5,2,Smoking
Sandra Miller,45,Male,150 - 155 cm,Engineer,"Gym, Socializing, Traveling, Gaming",No,"Pop, Electronic, Jazz/Blues",Michael Carter,Comedy,I’m not very active,I don't do any physical activities,Adventure travel,"Swimming/Water sports, Relaxing on the beach",Learning a new language,"None of the above, Smoking",Male,Athletic build,36–45,Moderately active,3,2,"Smoking, None of the above"
Caleb Thompson,45,Female,185 - 190 cm,Other,"Hiking, Traveling, Gaming",No,Electronic,Kristin Taylor,"Science Fiction/Fantasy, Drama",I’m not very active,Swimming/Water sports,City breaks,"Relaxing on the beach, Swimming/Water sports",Traveling to a new continent,None of the above,Prefer not to say,Athletic build,18–25,Highly active/Sporty,4,5,"Disrespectful behavior, Lack of ambition, Excessive drinking"
Ian Simon,36,Prefer not to say,175 - 180 cm,Other,"Sports, Traveling, Socializing",Yes – Dog(s),"Jazz/Blues, Rock, Hip-Hop/Rap",Brittany Newton,"Drama, Action/Adventure",Frequently (more than 3 times a week),"Gym/Fitness classes, I don't do any physical activities","Countryside, City breaks",Sightseeing/Cultural tours,"Skydiving or bungee jumping, Learning a new language, Starting your own business",Smoking,Prefer not to say,Stylish/Well-groomed,18–25,Highly active/Sporty,2,5,Poor hygiene
Brendan Robinson,33,Female,195 - 200 cm,Teacher,"Tv shows/Movies, Cars/Motorbikes, Cooking/Baking, Playing musical instruments, Reading",No,"Manele, Pop",John Hansen,"Drama, Horror/Thriller, Comedy",I’m not very active,Swimming/Water sports,City breaks,Hiking/Outdoor adventures,Traveling to a new continent,Smoking,Male,Natural look,26–35,No preference,2,4,"Smoking, Lack of ambition"
Jerry Hill,20,Prefer not to say,180 - 185 cm,Student,"Gaming, Traveling, Socializing","No, but I would love to",Jazz/Blues,Kelly Costa,"Romance, Action/Adventure, Horror/Thriller",I’m not very active,Yoga/Pilates,"Seaside, No strong preference",Hiking/Outdoor adventures,Starting your own business,Smoking,Female,"Athletic build, Stylish/Well-groomed",46+,No preference,5,5,"Smoking, Lack of ambition"
Rose Villegas,40,Male,170 - 175 cm,Business,"Music/Art, Cars/Motorbikes, Tv shows/Movies, Playing musical instruments",Yes – Multiple types,"Classical, Jazz/Blues",Pam Ellis,"Drama, Horror/Thriller, Action/Adventure",I’m not very active,"Swimming/Water sports, Team sports","Seaside, Mountains",Sightseeing/Cultural tours,"Traveling to a new continent, Learning a new language",None of the above,Prefer not to say,Tall,18–25,No preference,2,5,"Smoking, Excessive drinking"
Lindsey Mitchell,39,Female,200+ cm,Teacher,Sports,"No, but I would love to","Electronic, Manele",Haley Price,"Romance, Horror/Thriller, Drama",Regularly (2–3 times a week),"Running/Jogging, Team sports",No strong preference,"Relaxing on the beach, Sightseeing/Cultural tours","Traveling to a new continent, Starting your own business","Smoking, Regular alcohol consumption",Prefer not to say,Athletic build,18–25,Highly active/Sporty,1,2,Excessive drinking
Matthew Fuentes,22,Male,185 - 190 cm,Teacher,Gaming,Yes – Dog(s),Pop,Jason Lopez,"Drama, Romance",I’m not very active,I don't do any physical activities,"City breaks, Mountains",Swimming/Water sports,"Traveling to a new continent, Starting your own business, Running a marathon",Smoking,Prefer not to say,"Natural look, Stylish/Well-groomed",36–45,Not very active,3,3,"Excessive drinking, Disrespectful behavior"
Lynn Roman,42,Female,185 - 190 cm,Business,"Playing musical instruments, Socializing",Yes – Dog(s),"Manele, Classical, Hip-Hop/Rap",Wayne Norris,"Action/Adventure, Drama",Regularly (2–3 times a week),Running/Jogging,Seaside,"Relaxing on the beach, Hiking/Outdoor adventures",Traveling to a new continent,Regular alcohol consumption,Female,Athletic build,46+,Moderately active,1,2,Poor hygiene
Jonathan Mitchell,35,Non-binary,200+ cm,Business,"Socializing, Playing musical instruments, Music/Art, Traveling, Reading","No, but I would love to","Jazz/Blues, Hip-Hop/Rap",Kristina Hurst,"Comedy, Romance",Regularly (2–3 times a week),Running/Jogging,"Mountains, City breaks",Relaxing on the beach,"Starting your own business, Skydiving or bungee jumping, Traveling to a new continent","Prefer not to say, Regular alcohol consumption",Male,"Athletic build, Tall",18–25,Moderately active,5,3,Lack of ambition
Jessica Walker,47,Male,195 - 200 cm,Business,Sports,No,"Electronic, Jazz/Blues",Stephen Mayer,Action/Adventure,Frequently (more than 3 times a week),"Gym/Fitness classes, Team sports",No strong preference,Relaxing on the beach,"Traveling to a new continent, Learning a new language, Running a marathon",None of the above,Prefer not to say,"No strong preference, Stylish/Well-groomed",36–45,Moderately active,4,2,"Disrespectful behavior, Lack of ambition, Excessive drinking"
Kevin Gray,46,Non-binary,200+ cm,Engineer,"Reading, Tv shows/Movies, Traveling, Socializing, Cooking/Baking",Yes – Other pet(s),"Electronic, Pop, Classical",Erik Carpenter,"Comedy, Romance",Regularly (2–3 times a week),I don't do any physical activities,"Seaside, Adventure travel","Sightseeing/Cultural tours, Relaxing on the beach","Running a marathon, Learning a new language, Skydiving or bungee jumping","Gambling, Prefer not to say",Male,"Athletic build, Tall",36–45,Highly active/Sporty,2,2,Poor hygiene
Christopher Ramirez,25,Female,150 - 155 cm,Healthcare,Gaming,Yes – Multiple types,"Classical, Pop",Robert Sims,"Action/Adventure, Science Fiction/Fantasy",Occasionally (once a week or less),Gym/Fitness classes,City breaks,"Sightseeing/Cultural tours, Relaxing on the beach","Starting your own business, Running a marathon, Traveling to a new continent","Gambling, Smoking",It doesn't matter,"Athletic build, Stylish/Well-groomed",36–45,Highly active/Sporty,3,1,"Lack of ambition, None of the above"
Brian Hodges,46,Non-binary,200+ cm,Business,"Socializing, Cooking/Baking, Reading, Playing musical instruments, Gaming",Yes – Dog(s),"Manele, Hip-Hop/Rap",William Williams,"Romance, Action/Adventure, Drama",Regularly (2–3 times a week),Gym/Fitness classes,Seaside,Relaxing on the beach,Starting your own business,"None of the above, Gambling",It doesn't matter,"No strong preference, Stylish/Well-groomed",36–45,Moderately active,1,4,"Excessive drinking, Lack of ambition"
Lisa Norman,43,Non-binary,165 - 170 cm,IT Professional,"Gym, Gaming",Yes – Multiple types,"Rock, Hip-Hop/Rap",Christina Lindsey,Action/Adventure,Regularly (2–3 times a week),"Swimming/Water sports, Yoga/Pilates",Countryside,Sightseeing/Cultural tours,Starting your own business,None of the above,It doesn't matter,"Tall, Stylish/Well-groomed",No preference,Not very active,5,3,"Poor hygiene, Lack of ambition"
John Butler,29,Male,150 - 155 cm,IT Professional,"Socializing, Music/Art, Reading, Cooking/Baking",Yes – Dog(s),"Electronic, Manele, Rock",Jasmine Fowler,Action/Adventure,Frequently (more than 3 times a week),Team sports,"No strong preference, Mountains",Sightseeing/Cultural tours,Traveling to a new continent,Prefer not to say,Female,Tall,18–25,Moderately active,5,1,"Excessive drinking, Poor hygiene"
Valerie Todd,18,Prefer not to say,195 - 200 cm,Business,"Hiking, Sports",Yes – Multiple types,"Rock, Electronic, Hip-Hop/Rap",Steven Burns,Horror/Thriller,I’m not very active,I don't do any physical activities,"No strong preference, Adventure travel",Swimming/Water sports,"Running a marathon, Traveling to a new continent, Skydiving or bungee jumping",Smoking,Prefer not to say,No strong preference,18–25,Not very active,4,3,"None of the above, Poor hygiene, Disrespectful behavior"
Andrew Fitzgerald,47,Prefer not to say,160 - 165 cm,Engineer,Sports,Yes – Other pet(s),Jazz/Blues,Wendy Estrada,"Drama, Horror/Thriller",I’m not very active,"Running/Jogging, Yoga/Pilates","Adventure travel, No strong preference",Relaxing on the beach,"Traveling to a new continent, Starting your own business, Running a marathon","Smoking, None of the above",Female,"No strong preference, Tall",26–35,No preference,1,5,"Poor hygiene, Lack of ambition"
Kimberly Avery,22,Female,150 - 155 cm,Artist,"Cooking/Baking, Hiking, Reading, Socializing",Yes – Cat(s),"Manele, Hip-Hop/Rap",John Mejia,"Action/Adventure, Horror/Thriller, Comedy",Occasionally (once a week or less),Team sports,Mountains,"Relaxing on the beach, Swimming/Water sports","Starting your own business, Traveling to a new continent, Learning a new language","Gambling, Prefer not to say",It doesn't matter,"Athletic build, No strong preference",18–25,Highly active/Sporty,3,5,"Lack of ambition, Excessive drinking, Disrespectful behavior"
Traci Washington,20,Non-binary,165 - 170 cm,Student,"Traveling, Sports",Yes – Cat(s),"Hip-Hop/Rap, Manele",Lindsey Cantrell,Romance,Regularly (2–3 times a week),"I don't do any physical activities, Gym/Fitness classes","No strong preference, Adventure travel",Sightseeing/Cultural tours,"Traveling to a new continent, Skydiving or bungee jumping",Regular alcohol consumption,Prefer not to say,Stylish/Well-groomed,26–35,Not very active,3,2,Disrespectful behavior
Carla Poole,28,Female,180 - 185 cm,Other,"Gaming, Cooking/Baking, Sports, Hiking","No, but I would love to","Jazz/Blues, Pop, Electronic",William Bailey,"Romance, Action/Adventure, Horror/Thriller",Regularly (2–3 times a week),"I don't do any physical activities, Team sports",Adventure travel,"Hiking/Outdoor adventures, Swimming/Water sports","Learning a new language, Starting your own business, Running a marathon","Prefer not to say, Gambling",Prefer not to say,Tall,18–25,No preference,4,3,"Lack of ambition, Disrespectful behavior"
Walter Wright,35,Non-binary,190 - 195 cm,Business,"Hiking, Gym, Traveling, Reading, Music/Art",Yes – Other pet(s),"Pop, Manele, Classical",Mary Johnson,"Science Fiction/Fantasy, Action/Adventure",Regularly (2–3 times a week),Yoga/Pilates,Seaside,"Swimming/Water sports, Relaxing on the beach","Running a marathon, Traveling to a new continent",None of the above,It doesn't matter,"Tall, Stylish/Well-groomed",18–25,Not very active,1,3,"Disrespectful behavior, Smoking"
Bonnie Werner,47,Female,160 - 165 cm,Engineer,Traveling,"No, but I would love to",Pop,Lori Foster,"Romance, Action/Adventure",I’m not very active,Running/Jogging,"Mountains, Countryside","Hiking/Outdoor adventures, Swimming/Water sports","Running a marathon, Traveling to a new continent, Learning a new language",None of the above,Prefer not to say,Natural look,26–35,No preference,3,5,Smoking
Catherine Glenn,45,Prefer not to say,185 - 190 cm,Other,"Music/Art, Gym, Gaming, Socializing, Reading",Yes – Multiple types,"Jazz/Blues, Manele",Cynthia Ford,Drama,Frequently (more than 3 times a week),Gym/Fitness classes,Seaside,"Swimming/Water sports, Hiking/Outdoor adventures","Running a marathon, Starting your own business","Gambling, Regular alcohol consumption",Prefer not to say,"Tall, Athletic build",18–25,Moderately active,1,1,"Poor hygiene, None of the above, Excessive drinking"
Chelsea Woods,40,Female,190 - 195 cm,Business,"Playing musical instruments, Cooking/Baking",No,"Electronic, Rock",Anthony Williams,"Action/Adventure, Comedy",Occasionally (once a week or less),"Yoga/Pilates, I don't do any physical activities",Countryside,Hiking/Outdoor adventures,"Learning a new language, Starting your own business, Skydiving or bungee jumping","Smoking, None of the above",Prefer not to say,"Tall, Stylish/Well-groomed",36–45,Moderately active,1,1,"Smoking, Poor hygiene, Lack of ambition"
Alec Bruce,39,Prefer not to say,180 - 185 cm,Healthcare,"Cooking/Baking, Reading, Playing musical instruments, Hiking",Yes – Cat(s),Electronic,Megan Ballard,"Horror/Thriller, Science Fiction/Fantasy, Drama",Frequently (more than 3 times a week),Team sports,"Seaside, Countryside","Swimming/Water sports, Hiking/Outdoor adventures","Traveling to a new continent, Starting your own business, Learning a new language","Regular alcohol consumption, Smoking",Prefer not to say,"Tall, Natural look",36–45,Highly active/Sporty,1,5,"Excessive drinking, Disrespectful behavior"
Mr. Matthew Bennett,41,Male,155 - 160 cm,Artist,"Cooking/Baking, Playing musical instruments, Gaming, Hiking","No, but I would love to","Classical, Hip-Hop/Rap, Jazz/Blues",Sara Hawkins,Action/Adventure,Frequently (more than 3 times a week),Yoga/Pilates,"Countryside, City breaks","Relaxing on the beach, Swimming/Water sports","Running a marathon, Starting your own business, Learning a new language",Prefer not to say,Male,Stylish/Well-groomed,26–35,No preference,1,4,"Disrespectful behavior, None of the above, Smoking"
Sean Jackson,47,Non-binary,195 - 200 cm,Healthcare,"Playing musical instruments, Sports, Reading, Socializing, Music/Art",Yes – Other pet(s),"Electronic, Hip-Hop/Rap",Trevor Chaney,"Horror/Thriller, Drama, Science Fiction/Fantasy",I’m not very active,Yoga/Pilates,"Adventure travel, Seaside",Sightseeing/Cultural tours,"Skydiving or bungee jumping, Starting your own business",Smoking,It doesn't matter,No strong preference,36–45,No preference,2,5,"Disrespectful behavior, Poor hygiene"
Teresa Lane,48,Female,155 - 160 cm,IT Professional,"Socializing, Tv shows/Movies, Traveling, Playing musical instruments, Cars/Motorbikes","No, but I would love to","Hip-Hop/Rap, Classical, Rock",Michael Bolton,"Action/Adventure, Horror/Thriller, Science Fiction/Fantasy",Regularly (2–3 times a week),"Swimming/Water sports, Running/Jogging",Adventure travel,Relaxing on the beach,Running a marathon,None of the above,It doesn't matter,"Stylish/Well-groomed, Tall",36–45,No preference,4,4,Poor hygiene
John Allen,49,Female,195 - 200 cm,Artist,"Gym, Music/Art, Playing musical instruments",Yes – Other pet(s),Jazz/Blues,Alexa Smith,"Comedy, Science Fiction/Fantasy",Regularly (2–3 times a week),"Gym/Fitness classes, Team sports",Adventure travel,Hiking/Outdoor adventures,"Traveling to a new continent, Starting your own business, Learning a new language",Smoking,Male,Stylish/Well-groomed,36–45,Not very active,5,5,"Disrespectful behavior, None of the above, Poor hygiene"
Jennifer Jackson,42,Non-binary,150 - 155 cm,Engineer,Tv shows/Movies,Yes – Dog(s),"Pop, Hip-Hop/Rap, Jazz/Blues",Stephanie Watkins,"Action/Adventure, Science Fiction/Fantasy",Regularly (2–3 times a week),Swimming/Water sports,"Seaside, Countryside","Relaxing on the beach, Hiking/Outdoor adventures","Running a marathon, Traveling to a new continent",Prefer not to say,It doesn't matter,Athletic build,18–25,No preference,3,2,"Smoking, Poor hygiene"
Kenneth Jensen,35,Male,150 - 155 cm,Teacher,"Playing musical instruments, Sports, Reading, Cooking/Baking, Socializing",Yes – Multiple types,Electronic,Jessica Valenzuela,"Romance, Science Fiction/Fantasy, Horror/Thriller",Regularly (2–3 times a week),Gym/Fitness classes,Mountains,Relaxing on the beach,"Running a marathon, Traveling to a new continent","None of the above, Gambling",Prefer not to say,Athletic build,18–25,Highly active/Sporty,3,3,"Excessive drinking, Disrespectful behavior, Lack of ambition"
